地名,センター,燃やすごみ,燃やさないごみ,資源物,有害ごみ,粗大ごみ
宮本町,小山川クリーンセンター,月 木,水1 水3,火1,水4:1 3 5 7 9 11,水
泉町,小山川クリーンセンター,月 木,水1 水3,火1,水4:1 3 5 7 9 11,水
（本庄）上町,小山川クリーンセンター,月 木,水1 水3,火1,水4:1 3 5 7 9 11,水
（本庄）仲町,小山川クリーンセンター,月 木,水1 水3,火1,水4:1 3 5 7 9 11,水
照若町,小山川クリーンセンター,月 木,水2 水4,火1,水3:1 3 5 7 9 11,水
（本庄）本町,小山川クリーンセンター,月 木,水2 水4,火1,水3:1 3 5 7 9 11,水
南本町,小山川クリーンセンター,月 木,水2 水4,火1,水3:1 3 5 7 9 11,水
七軒町,小山川クリーンセンター,火 金,月1 月3,火2,水4:1 3 5 7 9 11,水
末広町,小山川クリーンセンター,火 金,月1 月3,火2,水4:1 3 5 7 9 11,水
台町,小山川クリーンセンター,火 金,木1 木3,火2,水4:1 3 5 7 9 11,水
諏訪町,小山川クリーンセンター,火 金,水1 水3,火2,水4:1 3 5 7 9 11,水
朝日町,小山川クリーンセンター,火 金,水2 水4,火2,水3:1 3 5 7 9 11,水
鵜森,小山川クリーンセンター,月 木,水2 水4,火3,水3:1 3 5 7 9 11,水
傍示堂,小山川クリーンセンター,月 木,水2 水4,火3,水3:1 3 5 7 9 11,水
牧西,小山川クリーンセンター,月 木,水2 水4,火3,水3:1 3 5 7 9 11,水
小和瀬,小山川クリーンセンター,月 木,水2 水4,火3,水3:1 3 5 7 9 11,水
宮戸,小山川クリーンセンター,月 木,水2 水4,火3,水3:1 3 5 7 9 11,水
堀田,小山川クリーンセンター,月 木,水2 水4,火3,水3:1 3 5 7 9 11,水
滝瀬,小山川クリーンセンター,月 木,水2 水4,火3,水3:1 3 5 7 9 11,水
仁手,小山川クリーンセンター,月 木,水2 水4,火4,水3:1 3 5 7 9 11,水
下仁手,小山川クリーンセンター,月 木,水2 水4,火4,水3:1 3 5 7 9 11,水
久々宇,小山川クリーンセンター,月 木,水2 水4,火4,水3:1 3 5 7 9 11,水
田中,小山川クリーンセンター,月 木,水2 水4,火4,水3:1 3 5 7 9 11,水
上仁手,小山川クリーンセンター,月 木,水2 水4,火4,水3:1 3 5 7 9 11,水
都島,小山川クリーンセンター,月 木,水1 水3,火3,水4:1 3 5 7 9 11,水
山王堂,小山川クリーンセンター,月 木,水1 水3,火3,水4:1 3 5 7 9 11,水
沼和田,小山川クリーンセンター,月 木,水1 水3,火3,水4:1 3 5 7 9 11,水
新井,小山川クリーンセンター,月 木,水1 水3,火3,水4:1 3 5 7 9 11,水
三友,小山川クリーンセンター,月 木,水1 水3,火3,水4:1 3 5 7 9 11,水
杉山,小山川クリーンセンター,月 木,水1 水3,火3,水4:1 3 5 7 9 11,水
小島県営住宅,小山川クリーンセンター,月 木,水1 水3,火3,水4:1 3 5 7 9 11,水
